80  706535.0 738076.0 769617.0 709689.1 722305.5 738076.0 753846.5 766462.9 31541.0
60  756118.0 781515.5 806913.0 758657.75 768816.75 781515.5 794214.25 804373.25 25397.5
40  922305.0 922305.0 922305.0 922305.0 922305.0 922305.0 922305.0 922305.0 0.0
20  1182953.0 1182953.0 1182953.0 1182953.0 1182953.0 1182953.0 1182953.0 1182953.0 0.0
