80  753316.0 780096.0 806876.0 755994.0 766706.0 780096.0 793486.0 804198.0 26780.0
60  917051.0 917051.0 917051.0 917051.0 917051.0 917051.0 917051.0 917051.0 0.0 
40  1154504.0 1154504.0 1154504.0 1154504.0 1154504.0 1154504.0 1154504.0 1154504.0 0.0
20  1951952.0 1951952.0 1951952.0 1951952.0 1951952.0 1951952.0 1951952.0 1951952.0 0.0
