80  727232.0 757737.0 788242.0 730282.5 742484.5 757737.0 772989.5 785191.5 30505.0
60  756868.0 784061.5 811255.0 759587.35 770464.75 784061.5 797658.25 808535.65 27193.5
40  917742.0 917742.0 917742.0 917742.0 917742.0 917742.0 917742.0 917742.0 0.0
20  921509.0 921509.0 921509.0 921509.0 921509.0 921509.0 921509.0 921509.0 0.0
