event stream queue is empty now!
eventCn 1878433
#full Match 272343
#high latecny (> 150)4918
#NumPartialMatch 4946601
11 : W 15 St & 7 Ave---Gansevoort St & Hudson St---W 15 St & 10 Ave---W 22 St & 10 Ave---W 34 St & 11 Ave---W 37 St & 10 Ave---
11 : W 37 St & 10 Ave---W 34 St & 11 Ave---W 22 St & 10 Ave---W 20 St & 11 Ave---W 18 St & 9 Ave---Gansevoort St & Hudson St---
12 : Avenue D & E 3 St---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---Avenue D & E 12 St---E 10 St & Avenue A---
12 : Central Park West & W 68 St---W 47 St & 10 Ave---W 27 St & 10 Ave---9 Ave & W 28 St---W 27 St & 10 Ave---9 Ave & W 28 St---
12 : Central Park West & W 72 St---Central Park West & W 68 St---Central Park West & W 72 St---W 63 St & Broadway---W 67 St & Broadway---Central Park West & W 68 St---
12 : E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---Avenue D & E 12 St---E 10 St & Avenue A---E 6 St & Avenue D---
12 : E 10 St & Avenue A---E 5 St & Avenue C---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---E 6 St & Avenue D---
12 : E 10 St & Avenue A---E 5 St & Avenue C---E 2 St & Avenue B---Avenue D & E 3 St---E 10 St & Avenue A---Avenue D & E 8 St---
12 : E 2 St & Avenue B---Avenue D & E 3 St---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---E 6 St & Avenue D---
12 : E 5 St & Avenue C---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---Avenue D & E 12 St---E 10 St & Avenue A---
12 : E 5 St & Avenue C---E 2 St & Avenue B---Avenue D & E 3 St---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---
12 : Little West St & 1 Pl---Broadway & Battery Pl---South St & Gouverneur Ln---Front St & Maiden Ln---Fulton St & William St---Madison St & Clinton St---
12 : Little West St & 1 Pl---West Thames St---Little West St & 1 Pl---Broadway & Battery Pl---South St & Gouverneur Ln---Front St & Maiden Ln---
12 : Maiden Ln & Pearl St---West St & Chambers St---West Thames St---Little West St & 1 Pl---Broadway & Battery Pl---Little West St & 1 Pl---
12 : St Marks Pl & 1 Ave---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---Avenue D & E 12 St---E 10 St & Avenue A---
12 : St Marks Pl & 1 Ave---E 10 St & Avenue A---E 5 St & Avenue C---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---
12 : W 27 St & 10 Ave---9 Ave & W 28 St---W 27 St & 10 Ave---9 Ave & W 28 St---W 26 St & 8 Ave---W 49 St & 8 Ave---
12 : W 47 St & 10 Ave---W 27 St & 10 Ave---9 Ave & W 28 St---W 27 St & 10 Ave---9 Ave & W 28 St---W 26 St & 8 Ave---
15 : 11 Ave & W 27 St---W 34 St & 11 Ave---11 Ave & W 27 St---W 20 St & 11 Ave---Duane St & Greenwich St---Grand St & Greene St---
15 : Duane St & Greenwich St---Pier 40 - Hudson River Park---Greenwich St & W Houston St---Pier 40 - Hudson River Park---Greenwich St & W Houston St---Pier 40 - Hudson River Park---
15 : Henry St & Poplar St---Old Fulton St---Henry St & Poplar St---Old Fulton St---Henry St & Poplar St---Columbia Heights & Cranberry St---
15 : Hicks St & Montague St---Old Fulton St---Henry St & Poplar St---Old Fulton St---Henry St & Poplar St---Old Fulton St---
15 : Lafayette St & E 8 St---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---
15 : Little West St & 1 Pl---South End Ave & Liberty St---Vesey Pl & River Terrace---South End Ave & Liberty St---Vesey Pl & River Terrace---South End Ave & Liberty St---
15 : Little West St & 1 Pl---Water - Whitehall Plaza---Little West St & 1 Pl---Water - Whitehall Plaza---Little West St & 1 Pl---Duane St & Greenwich St---
15 : Murray St & West St---W 20 St & 11 Ave---W 22 St & 10 Ave---W 20 St & 11 Ave---W 22 St & 10 Ave---W 20 St & 11 Ave---
15 : Pier 40 - Hudson River Park---Greenwich St & W Houston St---Pier 40 - Hudson River Park---Greenwich St & W Houston St---Pier 40 - Hudson River Park---Duane St & Greenwich St---
15 : South End Ave & Liberty St---Vesey Pl & River Terrace---South End Ave & Liberty St---Vesey Pl & River Terrace---South End Ave & Liberty St---Little West St & 1 Pl---
15 : W 16 St & The High Line---Pier 40 - Hudson River Park---6 Ave & Canal St---Pier 40 - Hudson River Park---Watts St & Greenwich St---Pier 40 - Hudson River Park---
15 : W 20 St & 11 Ave---W 22 St & 10 Ave---W 20 St & 11 Ave---W 22 St & 10 Ave---W 20 St & 11 Ave---W 26 St & 8 Ave---
15 : W 26 St & 10 Ave---W 26 St & 8 Ave---9 Ave & W 22 St---8 Ave & W 31 St---9 Ave & W 28 St---8 Ave & W 31 St---
15 : W 26 St & 8 Ave---9 Ave & W 22 St---8 Ave & W 31 St---9 Ave & W 28 St---8 Ave & W 31 St---1 Ave & E 16 St---
15 : W 49 St & 8 Ave---E 23 St & 1 Ave---E 20 St & FDR Drive---1 Ave & E 18 St---E 23 St & 1 Ave---E 20 St & FDR Drive---
15 : Water - Whitehall Plaza---Little West St & 1 Pl---South St & Whitehall St---Little West St & 1 Pl---Duane St & Greenwich St---Fulton St & William St---
15 : Watts St & Greenwich St---Pier 40 - Hudson River Park---Watts St & Greenwich St---Pier 40 - Hudson River Park---Watts St & Greenwich St---North Moore St & Greenwich St---
16 : Little West St & 1 Pl---Broadway & Battery Pl---South St & Gouverneur Ln---Front St & Maiden Ln---South St & Gouverneur Ln---Front St & Maiden Ln---
16 : South St & Gouverneur Ln---Maiden Ln & Pearl St---West St & Chambers St---West Thames St---Little West St & 1 Pl---Broadway & Battery Pl---
18 : Broadway & Battery Pl---Little West St & 1 Pl---Broadway & Battery Pl---South St & Gouverneur Ln---Front St & Maiden Ln---Fulton St & William St---
18 : Broadway & Battery Pl---Little West St & 1 Pl---Broadway & Battery Pl---South St & Gouverneur Ln---Front St & Maiden Ln---South St & Gouverneur Ln---
18 : E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---
18 : E 10 St & Avenue A---E 5 St & Avenue C---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---Avenue D & E 12 St---
18 : E 2 St & Avenue B---Avenue D & E 3 St---E 10 St & Avenue A---Avenue D & E 8 St---E 10 St & Avenue A---Avenue D & E 12 St---
20 : 6 Ave & Canal St---Pier 40 - Hudson River Park---Watts St & Greenwich St---Pier 40 - Hudson River Park---Watts St & Greenwich St---North Moore St & Greenwich St---
20 : Central Park West & W 68 St---Central Park West & W 72 St---Central Park West & W 68 St---Central Park West & W 72 St---W 63 St & Broadway---W 67 St & Broadway---
20 : Coffey St & Conover St---Hicks St & Montague St---Old Fulton St---Henry St & Poplar St---Old Fulton St---Henry St & Poplar St---
20 : E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---Grand St & Elizabeth St---
20 : E 39 St & 2 Ave---E 39 St & 2 Ave---E 39 St & 2 Ave---E 39 St & 2 Ave---E 39 St & 3 Ave---E 39 St & 3 Ave---
20 : Great Jones St---Lafayette St & E 8 St---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---E 10 St & Avenue A---
20 : Hicks St & Montague St---Old Fulton St---Henry St & Poplar St---Old Fulton St---Henry St & Poplar St---Columbia Heights & Cranberry St---
20 : Pier 40 - Hudson River Park---6 Ave & Canal St---Pier 40 - Hudson River Park---Watts St & Greenwich St---Pier 40 - Hudson River Park---Watts St & Greenwich St---
20 : South St & Whitehall St---Little West St & 1 Pl---South St & Whitehall St---Little West St & 1 Pl---South End Ave & Liberty St---Hudson St & Reade St---
20 : W 16 St & The High Line---Pier 40 - Hudson River Park---Watts St & Greenwich St---Pier 40 - Hudson River Park---Watts St & Greenwich St---North Moore St & Greenwich St---
