80  717513.0 748792.5 780072.0 720640.95 733152.75 748792.5 764432.25 776944.05 31279.5
60  769024.0 792927.5 816831.0 771414.35 780975.75 792927.5 804879.25 814440.65 23903.5
40  906889.0 906889.0 906889.0 906889.0 906889.0 906889.0 906889.0 906889.0 0.0
20  1105590.0 1105590.0 1105590.0 1105590.0 1105590.0 1105590.0 1105590.0 1105590.0 0.0
