59 	1.0 1.92788461538 5.0 1.0 1.0 2.0 2.0 4.0 5.0 0.868570524435
60 	1.0 1.94005449591 5.0 1.0 1.0 2.0 2.0 4.0 5.0 0.883825594195
01 	1.0 11.9819811208 150.0 1.0 2.0 2.0 5.0 68.0 150.0 23.9508330636
02 	1.0 12.3777075924 151.0 1.0 2.0 2.0 6.0 69.0 150.0 24.3935548724
03 	1.0 12.0813275173 151.0 1.0 2.0 2.0 5.0 68.25 151.0 24.3322690062
04 	1.0 11.3782911357 150.0 1.0 2.0 2.0 5.0 65.0 150.0 23.0726124118
05 	1.0 10.5791466135 131.0 1.0 2.0 2.0 5.0 58.0 131.0 20.5143978579
06 	1.0 10.3990006913 131.0 1.0 2.0 2.0 4.0 60.0 131.0 20.859085962
07 	1.0 8.34893832154 112.0 1.0 2.0 2.0 4.0 45.0 112.0 16.2747293792
08 	1.0 8.67834753821 114.0 1.0 2.0 2.0 4.0 47.0 114.0 16.8017700536
09 	1.0 9.24603203695 123.0 1.0 2.0 2.0 4.0 50.0 123.0 18.1390741766
