80  768346.0 796102.0 823858.0 771121.6 782224.0 796102.0 809980.0 821082.4 27756.0
60  842437.0 877056.0 911675.0 845898.9 859746.5 877056.0 894365.5 908213.1 34619.0
40  1002244.0 1002244.0 1002244.0 1002244.0 1002244.0 1002244.0 1002244.0 1002244.0 0.0
20  1954482.0 1954482.0 1954482.0 1954482.0 1954482.0 1954482.0 1954482.0 1954482.0 0.0
