1 , 1 , 525 , 2439 , 8074 , 0.302081
1 , 1 , 448 , 2196 , 9116 , 0.240895
1 , 1 , 3170 , 875 , 3702 , 0.236359
1 , 1 , 3283 , 992 , 4550 , 0.218022
1 , 1 , 2008 , 919 , 5504 , 0.166969
1 , 1 , 534 , 128 , 1293 , 0.0989946
1 , 1 , 266 , 111 , 1223 , 0.0907604
1 , 1 , 393 , 111 , 1559 , 0.0711995
1 , 1 , 3314 , 192 , 2811 , 0.0683031
1 , 1 , 3002 , 584 , 8871 , 0.0658325
1 , 1 , 3239 , 8 , 122 , 0.0655738
1 , 1 , 462 , 443 , 8456 , 0.0523888
1 , 1 , 407 , 23 , 449 , 0.0512249
1 , 1 , 3256 , 247 , 4929 , 0.0501116
1 , 1 , 363 , 137 , 2866 , 0.0478018
1 , 1 , 445 , 343 , 7433 , 0.0461456
1 , 1 , 537 , 80 , 1853 , 0.0431732
1 , 1 , 458 , 344 , 8012 , 0.0429356
1 , 1 , 217 , 67 , 1564 , 0.0428389
1 , 1 , 302 , 84 , 1962 , 0.0428135
1 , 1 , 216 , 13 , 325 , 0.04
1 , 1 , 3259 , 179 , 4497 , 0.0398043
1 , 1 , 259 , 77 , 1965 , 0.0391858
1 , 1 , 119 , 2 , 52 , 0.0384615
1 , 1 , 3236 , 118 , 3174 , 0.0371771
1 , 1 , 519 , 972 , 27023 , 0.0359694
1 , 1 , 253 , 86 , 2507 , 0.0343039
1 , 1 , 545 , 295 , 8611 , 0.0342585
1 , 1 , 465 , 353 , 10328 , 0.0341789
1 , 1 , 212 , 173 , 5084 , 0.0340283
1 , 1 , 3258 , 255 , 7510 , 0.0339547
1 , 1 , 466 , 300 , 8847 , 0.0339098
1 , 1 , 491 , 358 , 10560 , 0.0339015
1 , 1 , 498 , 307 , 9110 , 0.0336992
1 , 1 , 345 , 119 , 3568 , 0.033352
1 , 1 , 472 , 324 , 9771 , 0.0331593
2 , 1 , 525 , 2193 , 4054 , 0.540947
2 , 1 , 3283 , 974 , 1982 , 0.491423
2 , 1 , 3170 , 883 , 1843 , 0.47911
2 , 1 , 448 , 1970 , 4473 , 0.44042
2 , 1 , 2008 , 754 , 1854 , 0.406688
2 , 1 , 259 , 193 , 661 , 0.291982
2 , 2 , 525 , 323 , 1146 , 0.28185
2 , 1 , 407 , 52 , 185 , 0.281081
2 , 2 , 448 , 402 , 1486 , 0.270525
2 , 3 , 259 , 10 , 39 , 0.25641
2 , 1 , 3596 , 2 , 8 , 0.25
2 , 1 , 534 , 87 , 357 , 0.243697
2 , 1 , 3002 , 446 , 2045 , 0.218093
2 , 2 , 259 , 94 , 437 , 0.215103
2 , 2 , 266 , 42 , 199 , 0.211055
2 , 1 , 304 , 136 , 698 , 0.194842
2 , 3 , 266 , 3 , 16 , 0.1875
2 , 1 , 216 , 11 , 59 , 0.186441
2 , 2 , 3170 , 83 , 457 , 0.181619
2 , 1 , 266 , 74 , 410 , 0.180488
2 , 1 , 445 , 401 , 2354 , 0.170348
